Method,Planner,Number of agents,Number of pillars,Agent speed,Drone speed,Steps,Grid discovered,Agent tracked,Agent tracked time,Success,Static Collision,Dynamic Collision
LookAhead,MPC,5,0,20,20,209,553,1,3.5,1,0,0
LookAhead,MPC,5,0,20,20,166,274,3,10.0,0,0,1
LookAhead,MPC,5,0,20,20,209,550,0,0.0,1,0,0
LookAhead,MPC,5,0,20,20,259,513,1,21.0,1,0,0
LookAhead,MPC,5,0,20,20,208,300,0,21.0,1,0,0
LookAhead,MPC,5,0,20,20,270,338,2,16.0,1,0,0
LookAhead,MPC,5,0,20,20,108,295,0,0.0,1,0,0
LookAhead,MPC,5,0,20,20,262,587,1,20.0,1,0,0
LookAhead,MPC,5,0,20,20,175,379,1,11.333333333333334,1,0,0
LookAhead,MPC,5,0,20,20,184,269,4,17.285714285714285,0,0,1
LookAhead,MPC,5,0,20,20,108,292,1,19.0,1,0,0
LookAhead,MPC,5,0,20,20,174,404,2,12.0,1,0,0
LookAhead,MPC,5,0,20,20,207,488,1,17.0,1,0,0
LookAhead,MPC,5,0,20,20,173,387,1,14.333333333333334,1,0,0
LookAhead,MPC,5,0,20,20,209,549,1,3.0,1,0,0
LookAhead,MPC,5,0,20,20,179,314,3,24.25,1,0,0
LookAhead,MPC,5,0,20,20,304,448,4,23.428571428571427,1,0,0
LookAhead,MPC,5,0,20,20,185,380,1,27.875,1,0,0
LookAhead,MPC,5,0,20,20,209,549,0,0.0,1,0,0
LookAhead,MPC,5,0,20,20,210,495,2,24.0,1,0,0
LookAhead,MPC,5,0,20,20,173,392,1,24.33333333333333,1,0,0
LookAhead,MPC,5,0,20,20,204,317,1,24.5,0,0,1
LookAhead,MPC,5,0,20,20,209,548,1,29.0,1,0,0
LookAhead,MPC,5,0,20,20,259,508,0,29.0,1,0,0
LookAhead,MPC,5,0,20,20,172,398,0,29.0,1,0,0
LookAhead,MPC,5,0,20,20,259,328,0,29.0,1,0,0
LookAhead,MPC,5,0,20,20,209,550,1,4.0,1,0,0
LookAhead,MPC,5,0,20,20,259,516,3,24.25,1,0,0
LookAhead,MPC,5,0,20,20,208,299,0,24.25,1,0,0
LookAhead,MPC,5,0,20,20,261,335,1,20.0,1,0,0
LookAhead,MPC,5,0,20,20,209,549,2,30.5,1,0,0
LookAhead,MPC,5,0,20,20,175,318,2,25.5,1,0,0
LookAhead,MPC,5,0,20,20,220,306,2,28.83333333333333,1,0,0
LookAhead,MPC,5,0,20,20,190,416,5,20.916666666666668,1,0,0
LookAhead,MPC,5,0,20,20,108,295,0,0.0,1,0,0
LookAhead,MPC,5,0,20,20,208,318,0,0.0,1,0,0
LookAhead,MPC,5,0,20,20,260,572,1,14.0,1,0,0
LookAhead,MPC,5,0,20,20,71,99,1,18.5,0,0,1
LookAhead,MPC,5,0,20,20,108,295,0,0.0,1,0,0
LookAhead,MPC,5,0,20,20,266,594,2,27.0,1,0,0
LookAhead,MPC,5,0,20,20,176,402,4,24.666666666666668,0,0,1
LookAhead,MPC,5,0,20,20,228,568,1,12.0,1,0,0
LookAhead,MPC,5,0,20,20,208,488,2,14.2,1,0,0
LookAhead,MPC,5,0,20,20,173,391,0,14.2,1,0,0
LookAhead,MPC,5,0,20,20,238,292,1,26.0,1,0,0
LookAhead,MPC,5,0,20,20,179,397,1,41.75,1,0,0
LookAhead,MPC,5,0,20,20,259,576,1,41.4,1,0,0
LookAhead,MPC,5,0,20,20,172,395,2,32.142857142857146,1,0,0
LookAhead,MPC,5,0,20,20,209,549,0,0.0,1,0,0
LookAhead,MPC,5,0,20,30,80,293,0,0.0,1,0,0
LookAhead,MPC,5,0,20,30,185,587,3,10.666666666666666,1,0,0
LookAhead,MPC,5,0,20,30,149,451,0,10.666666666666666,1,0,0
LookAhead,MPC,5,0,20,30,186,445,1,11.25,1,0,0
LookAhead,MPC,5,0,20,30,41,149,2,15.5,0,0,1
LookAhead,MPC,5,0,20,30,154,547,1,50.0,1,0,0
LookAhead,MPC,5,0,20,30,127,319,1,36.5,1,0,0
LookAhead,MPC,5,0,20,30,206,478,3,23.2,1,0,0
LookAhead,MPC,5,0,20,30,123,369,1,19.142857142857142,0,0,1
LookAhead,MPC,5,0,20,30,154,539,2,20.5,1,0,0
LookAhead,MPC,5,0,20,30,198,480,2,24.25,1,0,0
LookAhead,MPC,5,0,20,30,128,385,3,19.0,1,0,0
LookAhead,MPC,5,0,20,30,185,351,2,17.11111111111111,1,0,0
LookAhead,MPC,5,0,20,30,153,544,4,18.5,1,0,0
LookAhead,MPC,5,0,20,30,127,335,1,19.6,1,0,0
LookAhead,MPC,5,0,20,30,147,320,0,19.6,1,0,0
LookAhead,MPC,5,0,20,30,125,391,0,19.6,1,0,0
LookAhead,MPC,5,0,20,30,154,548,0,0.0,1,0,0
LookAhead,MPC,5,0,20,30,149,471,4,19.75,1,0,0
LookAhead,MPC,5,0,20,30,186,442,1,24.4,1,0,0
LookAhead,MPC,5,0,20,30,149,297,1,29.166666666666668,1,0,0
LookAhead,MPC,5,0,20,30,100,288,2,6.5,1,0,0
LookAhead,MPC,5,0,20,30,27,84,0,6.5,0,0,1
LookAhead,MPC,5,0,20,30,81,294,1,13.0,1,0,0
LookAhead,MPC,5,0,20,30,127,379,1,20.0,1,0,0
LookAhead,MPC,5,0,20,30,147,472,1,15.333333333333334,1,0,0
LookAhead,MPC,5,0,20,30,125,370,1,17.25,1,0,0
LookAhead,MPC,5,0,20,30,81,294,0,0.0,1,0,0
LookAhead,MPC,5,0,20,30,154,288,1,22.0,1,0,0
LookAhead,MPC,5,0,20,30,126,400,1,17.5,1,0,0
LookAhead,MPC,5,0,20,30,148,463,1,24.0,1,0,0
LookAhead,MPC,5,0,20,30,154,547,1,33.0,1,0,0
LookAhead,MPC,5,0,20,30,150,458,1,26.5,1,0,0
LookAhead,MPC,5,0,20,30,5,4,0,28.5,0,0,1
LookAhead,MPC,5,0,20,30,81,293,2,3.5,1,0,0
LookAhead,MPC,5,0,20,30,64,198,0,3.5,0,0,1
LookAhead,MPC,5,0,20,30,4,36,1,3.0,0,0,1
LookAhead,MPC,5,0,20,30,60,231,1,21.0,0,0,1
LookAhead,MPC,5,0,20,30,83,283,1,11.0,1,0,0
LookAhead,MPC,5,0,20,30,161,314,1,15.5,1,0,0
LookAhead,MPC,5,0,20,30,125,387,0,15.5,1,0,0
LookAhead,MPC,5,0,20,30,147,460,1,17.333333333333332,1,0,0
LookAhead,MPC,5,0,20,30,154,547,1,9.0,1,0,0
LookAhead,MPC,5,0,20,30,149,476,0,9.0,1,0,0
LookAhead,MPC,5,0,20,30,125,377,0,9.0,1,0,0
LookAhead,MPC,5,0,20,30,147,317,1,6.5,1,0,0
LookAhead,MPC,5,0,20,30,154,548,0,0.0,1,0,0
LookAhead,MPC,5,0,20,30,149,476,1,1.0,1,0,0
LookAhead,MPC,5,0,20,30,185,439,0,1.0,1,0,0
LookAhead,MPC,5,0,20,30,149,303,0,1.0,1,0,0
LookAhead,MPC,5,0,20,30,81,294,1,13.0,1,0,0
LookAhead,MPC,5,0,20,30,150,320,0,13.0,1,0,0
LookAhead,MPC,5,0,20,30,188,566,2,8.4,1,0,0
LookAhead,MPC,5,0,20,30,135,394,2,10.857142857142858,0,0,1
LookAhead,MPC,5,0,20,30,154,532,1,43.0,1,0,0
LookAhead,MPC,5,0,20,30,185,494,2,20.0,1,0,0
LookAhead,MPC,5,0,20,30,126,387,1,21.5,1,0,0
LookAhead,MPC,5,0,20,30,115,172,1,21.4,0,0,1
LookAhead,MPC,5,0,20,30,81,293,0,0.0,1,0,0
LookAhead,MPC,5,0,20,30,125,384,2,22.5,1,0,0
LookAhead,MPC,5,0,20,30,147,460,2,30.5,1,0,0
LookAhead,MPC,5,0,20,30,125,370,0,37.75,1,0,0
LookAhead,MPC,5,0,20,30,81,293,0,0.0,1,0,0
LookAhead,MPC,5,0,20,30,150,318,1,21.0,1,0,0
LookAhead,MPC,5,0,20,30,134,396,0,82.0,1,0,0
LookAhead,MPC,5,0,20,30,159,491,2,37.66666666666666,1,0,0
LookAhead,MPC,5,0,20,30,81,294,0,0.0,1,0,0
LookAhead,MPC,5,0,20,30,185,591,1,16.0,1,0,0
LookAhead,MPC,5,0,20,30,126,371,0,16.0,1,0,0
LookAhead,MPC,5,0,20,30,185,459,1,14.5,1,0,0
LookAhead,MPC,5,0,20,30,88,287,1,20.0,1,0,0
LookAhead,MPC,5,0,20,30,201,594,1,36.66666666666666,1,0,0
LookAhead,MPC,5,0,20,30,159,458,1,35.75,1,0,0
LookAhead,MPC,5,0,20,30,192,437,3,26.714285714285715,1,0,0
LookAhead,MPC,5,0,20,30,81,293,0,0.0,1,0,0
LookAhead,MPC,5,0,20,30,153,488,1,17.0,0,0,1
LookAhead,MPC,5,0,20,40,69,289,1,10.0,1,0,0
LookAhead,MPC,5,0,20,40,124,321,0,23.0,1,0,0
LookAhead,MPC,5,0,20,40,151,579,1,15.0,1,0,0
LookAhead,MPC,5,0,20,40,121,459,1,17.0,1,0,0
LookAhead,MPC,5,0,20,40,121,551,2,6.0,1,0,0
LookAhead,MPC,5,0,20,40,121,481,2,8.0,1,0,0
LookAhead,MPC,5,0,20,40,149,289,1,8.0,1,0,0
LookAhead,MPC,5,0,20,40,151,596,0,17.0,1,0,0
LookAhead,MPC,5,0,20,40,104,379,2,26.5,1,0,0
LookAhead,MPC,5,0,20,40,151,467,1,19.0,1,0,0
LookAhead,MPC,5,0,20,40,121,548,1,15.0,1,0,0
LookAhead,MPC,5,0,20,40,105,328,1,22.5,1,0,0
LookAhead,MPC,5,0,20,40,119,313,0,22.5,1,0,0
LookAhead,MPC,5,0,20,40,101,388,1,19.33333333333333,1,0,0
LookAhead,MPC,5,0,20,40,70,292,1,24.0,1,0,0
LookAhead,MPC,5,0,20,40,124,316,1,20.5,1,0,0
LookAhead,MPC,5,0,20,40,151,576,2,20.5,1,0,0
